datetime,symbol,open,high,low,close,volume
2004-09-21 09:15:00,NSE:NIFTY,1728.75,1753.0,1724.7,1750.2,122449002.0
2004-09-22 09:15:00,NSE:NIFTY,1749.75,1760.8,1736.3,1753.9,123805000.0
2004-09-23 09:15:00,NSE:NIFTY,1753.1,1753.15,1723.4,1726.15,142285996.0
2004-09-24 09:15:00,NSE:NIFTY,1726.15,1736.9,1717.2,1722.5,101666996.0
2004-09-27 09:15:00,NSE:NIFTY,1722.4,1726.15,1707.95,1717.5,81158996.0
2004-09-28 09:15:00,NSE:NIFTY,1717.45,1717.9,1697.4,1700.25,98870002.0
2004-09-29 09:15:00,NSE:NIFTY,1700.55,1730.3,1695.7,1727.95,144120005.0
2004-09-30 09:15:00,NSE:NIFTY,1728.3,1748.2,1728.2,1745.5,125085000.0
2004-10-01 09:15:00,NSE:NIFTY,1744.4,1778.65,1737.85,1775.15,95830999.0
2004-10-04 09:15:00,NSE:NIFTY,1776.75,1813.9,1775.45,1805.65,94392001.0
2004-10-05 09:15:00,NSE:NIFTY,1805.85,1816.55,1798.6,1812.45,96076997.0
2004-10-06 09:15:00,NSE:NIFTY,1811.7,1824.8,1790.6,1794.9,106348003.0
2004-10-07 09:15:00,NSE:NIFTY,1793.0,1821.85,1793.0,1815.7,90731004.0
2004-10-08 09:15:00,NSE:NIFTY,1815.65,1825.15,1808.75,1820.2,94301004.0
2004-10-11 09:15:00,NSE:NIFTY,1817.85,1829.45,1803.5,1807.75,71941997.0
2004-10-12 09:15:00,NSE:NIFTY,1808.45,1820.9,1783.05,1786.9,87626998.0
2004-10-14 09:15:00,NSE:NIFTY,1784.8,1805.7,1773.0,1794.75,96790004.0
2004-10-15 09:15:00,NSE:NIFTY,1794.8,1814.05,1789.55,1795.0,82578997.0
2004-10-18 09:15:00,NSE:NIFTY,1796.05,1806.15,1782.95,1786.0,64342000.0
2004-10-19 09:15:00,NSE:NIFTY,1787.2,1813.9,1787.2,1808.4,73753002.0
2004-10-20 09:15:00,NSE:NIFTY,1808.6,1815.2,1785.45,1790.05,80483000.0
2004-10-21 09:15:00,NSE:NIFTY,1790.35,1795.4,1772.4,1779.75,69149999.0
2004-10-25 09:15:00,NSE:NIFTY,1780.0,1783.55,1753.5,1757.25,78085997.0
2004-10-26 09:15:00,NSE:NIFTY,1777.85,1782.1,1750.3,1781.05,99726000.0
2004-10-27 09:15:00,NSE:NIFTY,1781.15,1797.55,1774.2,1783.85,87522001.0
2004-10-28 09:15:00,NSE:NIFTY,1783.9,1808.15,1783.9,1800.1,113057997.0
2004-10-29 09:15:00,NSE:NIFTY,1800.85,1808.85,1783.1,1786.9,125108003.0
2004-11-01 09:15:00,NSE:NIFTY,1787.3,1800.25,1776.7,1797.75,79012004.0
2004-11-02 09:15:00,NSE:NIFTY,1798.3,1817.1,1798.3,1813.7,76288000.0
2004-11-03 09:15:00,NSE:NIFTY,1814.15,1838.4,1814.15,1837.4,86217998.0
2004-11-04 09:15:00,NSE:NIFTY,1837.8,1853.05,1830.5,1834.85,85025997.0
2004-11-05 09:15:00,NSE:NIFTY,1836.05,1854.4,1836.0,1852.3,63623999.0
2004-11-08 09:15:00,NSE:NIFTY,1852.45,1871.05,1852.45,1862.8,63019999.0
2004-11-09 09:15:00,NSE:NIFTY,1863.55,1869.45,1853.45,1858.75,63300002.0
2004-11-10 09:15:00,NSE:NIFTY,1859.65,1878.2,1857.7,1876.1,71713997.0
2004-11-11 09:15:00,NSE:NIFTY,1876.45,1884.65,1866.95,1870.55,58867999.0
2004-11-12 09:15:00,NSE:NIFTY,1871.9,1885.05,1866.75,1872.95,21421001.0
2004-11-16 09:15:00,NSE:NIFTY,1872.8,1881.4,1862.8,1879.0,68596998.0
2004-11-17 09:15:00,NSE:NIFTY,1879.05,1892.15,1874.35,1888.65,77652001.0
2004-11-18 09:15:00,NSE:NIFTY,1890.45,1895.3,1880.8,1892.05,91092001.0
2004-11-19 09:15:00,NSE:NIFTY,1891.95,1898.15,1869.35,1872.35,83053003.0
2004-11-22 09:15:00,NSE:NIFTY,1872.55,1878.05,1845.1,1873.35,73274999.0
2004-11-23 09:15:00,NSE:NIFTY,1873.35,1900.05,1873.35,1892.6,82132001.0
2004-11-24 09:15:00,NSE:NIFTY,1893.15,1907.35,1889.85,1904.05,65664999.0
2004-11-25 09:15:00,NSE:NIFTY,1904.25,1915.8,1892.6,1901.05,105457000.0
2004-11-29 09:15:00,NSE:NIFTY,1899.3,1942.95,1894.6,1939.65,110660002.0
2004-11-30 09:15:00,NSE:NIFTY,1940.25,1963.8,1940.25,1958.8,119046996.0
2004-12-01 09:15:00,NSE:NIFTY,1960.75,1971.6,1944.5,1962.05,114582004.0
2004-12-02 09:15:00,NSE:NIFTY,1962.75,2001.55,1962.75,1999.0,131744997.0
2004-12-03 09:15:00,NSE:NIFTY,1991.9,2011.9,1990.3,1996.2,111130001.0
2004-12-06 09:15:00,NSE:NIFTY,1996.3,2012.25,1989.95,1993.15,103216996.0
2004-12-07 09:15:00,NSE:NIFTY,1990.6,2002.6,1981.15,1992.7,91428004.0
2004-12-08 09:15:00,NSE:NIFTY,1994.15,2009.7,1973.15,1977.95,101908996.0
2004-12-09 09:15:00,NSE:NIFTY,1977.8,1995.7,1964.5,1989.95,87016997.0
2004-12-10 09:15:00,NSE:NIFTY,1990.2,1999.7,1964.65,1969.0,86927999.0
2004-12-13 09:15:00,NSE:NIFTY,1970.6,1987.0,1964.8,1985.35,68233998.0
2004-12-14 09:15:00,NSE:NIFTY,1985.2,2008.8,1972.85,2006.8,80093004.0
2004-12-15 09:15:00,NSE:NIFTY,2006.8,2034.35,2006.8,2028.7,86232998.0
2004-12-16 09:15:00,NSE:NIFTY,2028.8,2039.2,2019.5,2033.2,76506997.0
2004-12-17 09:15:00,NSE:NIFTY,2032.85,2037.7,2007.2,2012.1,86237004.0
2004-12-20 09:15:00,NSE:NIFTY,2012.5,2029.5,2007.15,2026.85,83223003.0
2004-12-21 09:15:00,NSE:NIFTY,2027.8,2047.5,2025.25,2044.65,73292997.0
2004-12-22 09:15:00,NSE:NIFTY,2040.6,2053.8999,2029.85,2035.35,75621999.0
2004-12-23 09:15:00,NSE:NIFTY,2035.6,2049.3,2031.9,2045.15,57030001.0
2004-12-24 09:15:00,NSE:NIFTY,2045.35,2065.6001,2045.3,2062.7,68445999.0
2004-12-27 09:15:00,NSE:NIFTY,2061.6001,2079.05,2046.25,2062.6001,73519997.0
2004-12-28 09:15:00,NSE:NIFTY,2063.6001,2074.6001,2060.05,2071.3501,85663998.0
2004-12-29 09:15:00,NSE:NIFTY,2071.55,2086.1499,2062.3501,2069.6001,68715000.0
2004-12-30 09:15:00,NSE:NIFTY,2070.55,2088.45,2052.25,2059.8,79260000.0
2004-12-31 09:15:00,NSE:NIFTY,2059.8501,2083.0,2059.8501,2080.5,60139000.0
2005-01-03 09:15:00,NSE:NIFTY,2080.0,2118.6001,2080.0,2115.0,70507004.0
2005-01-04 09:15:00,NSE:NIFTY,2116.95,2120.1499,2100.55,2103.75,72718000.0
2005-01-05 09:15:00,NSE:NIFTY,2103.75,2105.1001,1990.15,2032.2,109223002.0
2005-01-06 09:15:00,NSE:NIFTY,2031.55,2035.65,1984.25,1998.35,94322000.0
2005-01-07 09:15:00,NSE:NIFTY,1998.25,2021.45,1992.55,2015.5,76286001.0
2005-01-10 09:15:00,NSE:NIFTY,2016.75,2025.9,1974.8,1982.0,75659002.0
2005-01-11 09:15:00,NSE:NIFTY,1982.7,1988.9,1947.35,1952.05,70270001.0
2005-01-12 09:15:00,NSE:NIFTY,1953.6,1966.65,1900.85,1913.6,85039997.0
2005-01-13 09:15:00,NSE:NIFTY,1922.5,1963.4,1916.95,1954.55,80904004.0
2005-01-14 09:15:00,NSE:NIFTY,1954.9,1961.4,1922.85,1931.1,86211002.0
2005-01-17 09:15:00,NSE:NIFTY,1931.75,1944.55,1902.45,1932.9,82252997.0
2005-01-18 09:15:00,NSE:NIFTY,1933.05,1956.95,1925.35,1934.05,91873001.0
2005-01-19 09:15:00,NSE:NIFTY,1934.1,1945.65,1922.35,1926.65,94221001.0
2005-01-20 09:15:00,NSE:NIFTY,1928.1,1940.95,1900.05,1925.3,96600998.0
2005-01-24 09:15:00,NSE:NIFTY,1925.3,1932.75,1902.9,1909.0,74819002.0
2005-01-25 09:15:00,NSE:NIFTY,1908.85,1934.25,1894.4,1931.85,88565998.0
2005-01-27 09:15:00,NSE:NIFTY,1931.9,1961.75,1929.0,1955.0,135723000.0
2005-01-28 09:15:00,NSE:NIFTY,1955.25,2014.25,1950.85,2008.3,106729996.0
2005-01-31 09:15:00,NSE:NIFTY,2008.45,2060.3999,2006.35,2057.6001,137984999.0
2005-02-01 09:15:00,NSE:NIFTY,2057.75,2072.5,2045.25,2059.8501,135567999.0
